Age,Gender,Monthly_Income,Occupation,Location_Type,Cinema_Visit_Frequency,Spend_Per_Visit,Movie_Importance,Preferred_Genres,Preferred_Time,Movie_Companion,Group_Movie_Conflict,Use_Poll_Booking,Seat_Importance,Pay_Extra_Seat,Buy_Snacks,Use_Snack_Preorder,Enjoy_PostCredit,Want_Spoiler_Free_Alerts,Inclusive_Screenings,Eco_Labels_Influence,Follow_Fan_Communities,Want_Exclusive_Content,AI_Recommendation_Interest,Loyalty_SplitPay_Interest,Use_App_Regularly
51,Female,1102,Other,Town,Never,83,2,"Animation, Action, Sci-Fi, Comedy, Horror, Drama",Morning,Friends/Group,No,Yes,1,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,4,1,No
49,Male,6044,Working Professional,Tier-2 City,Never,87,4,"Documentary, Comedy, Sci-Fi, Other, Animation, Drama",Evening,Partner,Yes,No,5,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,3,5,Yes
58,Prefer not to say,3160,Retired,Tier-1 City,Weekly,110,5,"Romance, Sci-Fi, Comedy, Action, Other, Animation, Horror",Afternoon,Family,No,Yes,5,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,2,Yes
54,Female,2443,Working Professional,Tier-1 City,Rarely,88,1,"Animation, Comedy, Drama, Other, Horror, Documentary, Romance, Sci-Fi",Morning,Alone,Yes,No,3,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,1,1,No
36,Female,4229,Other,Rural Area,Monthly,91,4,"Documentary, Horror, Action, Comedy, Animation, Other, Sci-Fi, Romance, Drama",Afternoon,Alone,Yes,No,2,No,Yes,Yes,Yes,Yes,No,No,No,No,5,1,Yes
41,Male,2667,Student,Rural Area,Monthly,69,4,"Romance, Other, Documentary, Action, Sci-Fi, Drama, Comedy, Animation, Horror",Afternoon,Friends/Group,Yes,Yes,3,No,No,Yes,Yes,No,No,No,Yes,No,1,4,No
49,Male,6167,Homemaker,Tier-2 City,Weekly,123,5,"Other, Horror, Action, Comedy, Romance, Sci-Fi",Morning,Friends/Group,Yes,Yes,4,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,1,4,Yes
15,Non-binary,6774,Other,Tier-1 City,Weekly,67,4,"Action, Romance, Sci-Fi, Animation, Drama, Horror, Documentary",Afternoon,Partner,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,4,5,Yes
49,Prefer not to say,2369,Student,Town,Rarely,62,5,"Comedy, Other, Drama, Horror, Romance",Afternoon,Friends/Group,No,No,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2,3,Yes
51,Prefer not to say,1810,Retired,Rural Area,Rarely,111,3,"Animation, Other, Documentary, Sci-Fi, Action, Comedy, Horror, Romance",Afternoon,Alone,No,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2,2,Yes
28,Non-binary,3243,Working Professional,Town,Never,45,5,"Documentary, Romance, Comedy, Sci-Fi, Other, Animation, Action",Afternoon,Alone,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,3,2,Yes
17,Prefer not to say,7086,Working Professional,Rural Area,Monthly,38,1,"Other, Action, Animation, Documentary, Sci-Fi, Comedy, Horror",Evening,Family,Yes,Yes,3,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,2,3,Yes
15,Prefer not to say,1591,Working Professional,Tier-2 City,Monthly,77,1,"Drama, Romance, Documentary, Comedy, Other",Afternoon,Family,No,Yes,5,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,2,4,Yes
19,Prefer not to say,3438,Retired,Tier-1 City,Weekly,74,5,"Sci-Fi, Comedy, Drama, Documentary, Other, Animation, Action, Romance",Night,Alone,Yes,No,3,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,1,4,Yes
40,Prefer not to say,3496,Student,Rural Area,Never,70,3,"Other, Comedy, Sci-Fi, Romance, Documentary, Animation, Action, Horror",Afternoon,Alone,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,1,1,Yes
28,Prefer not to say,4302,Retired,Tier-1 City,Monthly,94,3,"Action, Other, Documentary, Animation, Sci-Fi, Drama, Horror, Romance",Morning,Partner,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,4,5,Yes
53,Male,1352,Working Professional,Town,Never,56,1,"Animation, Action, Horror, Romance, Sci-Fi, Drama, Other, Comedy",Night,Partner,No,No,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,1,4,Yes
41,Prefer not to say,4145,Other,Tier-2 City,Never,76,3,"Horror, Animation, Drama, Other, Action, Sci-Fi, Romance",Evening,Alone,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,1,1,Yes
23,Male,6993,Homemaker,Tier-1 City,Weekly,67,4,"Animation, Documentary, Horror, Comedy, Drama, Romance, Other",Night,Friends/Group,Yes,Yes,3,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,3,3,Yes
29,Prefer not to say,1495,Retired,Tier-2 City,Never,57,2,"Romance, Other, Horror, Comedy, Drama, Action, Documentary, Animation, Sci-Fi",Night,Family,No,Yes,5,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,2,1,Yes
29,Non-binary,1678,Retired,Tier-1 City,Rarely,73,4,"Sci-Fi, Documentary, Comedy, Animation",Night,Alone,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,3,Yes
40,Female,9885,Student,Town,Rarely,92,1,"Action, Sci-Fi, Horror, Documentary",Morning,Friends/Group,Yes,Yes,4,Yes,Yes,No,Yes,Yes,Yes,No,No,No,2,3,Yes
56,Male,1499,Student,Town,Occasionally,117,3,"Horror, Drama, Animation, Documentary, Sci-Fi, Romance, Action",Morning,Alone,Yes,No,3,Yes,No,Yes,Yes,Yes,No,No,No,No,1,3,Yes
27,Prefer not to say,5816,Retired,Tier-2 City,Weekly,86,5,"Documentary, Other, Horror, Drama, Animation",Morning,Family,No,Yes,2,Yes,Yes,Yes,No,Yes,No,Yes,No,No,2,3,No
46,Non-binary,2694,Working Professional,Town,Occasionally,24,2,"Comedy, Animation, Sci-Fi, Horror",Evening,Family,Yes,Yes,5,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,2,4,Yes
53,Female,1709,Homemaker,Rural Area,Rarely,74,5,"Horror, Romance, Action, Animation, Drama",Morning,Partner,No,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,1,2,Yes
46,Male,6115,Student,Tier-1 City,Occasionally,75,1,"Documentary, Sci-Fi, Other, Action, Romance, Horror, Animation",Morning,Partner,No,Yes,5,Yes,No,No,Yes,Yes,No,Yes,No,No,4,3,No
18,Female,2473,Working Professional,Town,Weekly,93,3,"Romance, Animation, Drama, Action, Horror, Other",Night,Partner,Yes,No,5,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,5,1,Yes
44,Non-binary,2808,Other,Rural Area,Weekly,78,5,"Other, Horror, Drama, Sci-Fi, Animation, Action, Comedy, Romance",Morning,Partner,No,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,1,2,Yes
51,Male,2112,Student,Tier-2 City,Never,100,5,"Sci-Fi, Comedy, Documentary, Action, Horror, Drama, Animation, Other",Afternoon,Family,Yes,Yes,3,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,3,1,Yes
37,Female,3247,Working Professional,Rural Area,Monthly,82,2,"Horror, Animation, Sci-Fi, Action, Romance",Morning,Friends/Group,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,1,Yes
53,Prefer not to say,1446,Working Professional,Tier-2 City,Never,106,2,"Drama, Romance, Animation, Horror",Evening,Friends/Group,Yes,Yes,3,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,5,1,Yes
59,Male,2240,Homemaker,Tier-2 City,Weekly,66,3,"Documentary, Drama, Sci-Fi, Animation, Comedy, Other, Horror, Romance",Evening,Friends/Group,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,2,3,Yes
29,Female,9717,Homemaker,Tier-1 City,Rarely,77,2,"Animation, Sci-Fi, Documentary, Drama, Other",Afternoon,Alone,Yes,Yes,2,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,5,2,Yes
57,Non-binary,1746,Other,Tier-1 City,Rarely,91,5,"Other, Documentary, Romance, Sci-Fi, Drama, Horror, Action, Comedy",Evening,Partner,Yes,Yes,4,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,3,Yes
43,Non-binary,3673,Working Professional,Rural Area,Never,63,5,"Comedy, Animation, Sci-Fi, Drama, Action, Horror",Evening,Partner,Yes,No,5,No,Yes,Yes,Yes,Yes,No,No,No,Yes,5,4,Yes
50,Male,11898,Working Professional,Tier-1 City,Weekly,59,1,"Horror, Action, Sci-Fi, Other, Comedy, Romance",Night,Family,No,Yes,2,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,4,3,Yes
27,Female,4712,Homemaker,Tier-1 City,Rarely,62,5,"Horror, Action, Sci-Fi, Romance, Documentary",Afternoon,Family,Yes,No,1,Yes,No,No,No,No,No,No,Yes,No,4,5,Yes
46,Male,1350,Student,Tier-1 City,Weekly,60,3,"Action, Documentary, Drama, Horror, Comedy",Night,Alone,No,No,3,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,1,Yes
21,Male,9751,Student,Rural Area,Rarely,85,4,"Horror, Animation, Sci-Fi, Documentary, Other, Action, Drama",Night,Alone,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,2,4,Yes
36,Female,2511,Retired,Town,Weekly,38,1,"Other, Horror, Sci-Fi, Drama, Documentary",Morning,Friends/Group,Yes,Yes,5,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,2,2,Yes
42,Female,1673,Homemaker,Tier-1 City,Occasionally,43,1,"Animation, Romance, Comedy, Horror, Sci-Fi, Drama, Documentary, Other",Afternoon,Family,Yes,Yes,2,No,Yes,Yes,Yes,Yes,No,No,Yes,No,1,3,No
16,Prefer not to say,1190,Retired,Tier-1 City,Weekly,112,3,"Sci-Fi, Documentary, Comedy, Animation, Drama, Other, Action, Romance, Horror",Morning,Partner,Yes,Yes,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,4,Yes
56,Female,1465,Homemaker,Rural Area,Weekly,60,3,"Horror, Documentary, Drama, Other, Animation, Sci-Fi, Comedy, Action, Romance",Morning,Friends/Group,Yes,No,4,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3,3,Yes
59,Non-binary,2833,Other,Town,Never,79,2,"Romance, Drama, Documentary, Action, Animation, Other, Comedy",Night,Partner,No,Yes,1,Yes,No,No,Yes,Yes,No,No,Yes,No,2,3,Yes
20,Male,2027,Working Professional,Tier-1 City,Occasionally,45,1,"Sci-Fi, Documentary, Comedy, Animation, Other, Drama, Horror",Evening,Friends/Group,No,Yes,2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1,3,Yes
42,Male,5413,Other,Tier-2 City,Monthly,76,2,"Sci-Fi, Drama, Action, Other, Romance, Comedy, Animation, Documentary, Horror",Afternoon,Partner,No,Yes,4,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4,1,Yes
42,Non-binary,2409,Homemaker,Rural Area,Never,60,5,"Horror, Action, Documentary, Other, Drama, Romance, Animation, Sci-Fi, Comedy",Evening,Alone,Yes,Yes,4,Yes,No,Yes,Yes,No,No,No,No,Yes,3,1,Yes
58,Female,1714,Working Professional,Tier-1 City,Monthly,43,1,"Drama, Animation, Romance, Horror, Documentary, Comedy, Sci-Fi, Other",Night,Friends/Group,No,Yes,1,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,1,1,Yes
58,Non-binary,3400,Student,Tier-1 City,Rarely,101,1,"Action, Comedy, Romance, Sci-Fi, Documentary, Other",Night,Partner,Yes,No,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,No
34,Non-binary,4067,Student,Tier-2 City,Monthly,98,4,"Animation, Drama, Action, Horror, Romance",Night,Partner,Yes,Yes,1,Yes,No,Yes,Yes,Yes,No,No,Yes,No,2,2,Yes
44,Prefer not to say,1456,Retired,Tier-2 City,Weekly,72,1,"Sci-Fi, Action, Documentary, Drama, Other",Night,Family,No,No,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,4,3,No
25,Non-binary,1458,Homemaker,Rural Area,Monthly,94,5,"Comedy, Romance, Drama, Horror, Sci-Fi, Documentary, Action, Other",Night,Friends/Group,No,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,2,3,Yes
42,Male,1093,Homemaker,Rural Area,Never,113,2,"Horror, Comedy, Drama, Documentary, Other, Animation",Night,Partner,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,No,No,No,No,1,3,Yes
39,Non-binary,4333,Student,Tier-2 City,Never,90,2,"Drama, Action, Romance, Other, Animation, Comedy, Documentary, Horror, Sci-Fi",Evening,Family,Yes,Yes,2,No,No,Yes,No,Yes,No,No,No,Yes,3,5,No
53,Male,3725,Other,Rural Area,Monthly,84,4,"Romance, Comedy, Horror, Other, Action, Documentary, Sci-Fi, Animation",Morning,Partner,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,5,5,Yes
47,Male,2609,Working Professional,Tier-2 City,Never,78,5,"Horror, Action, Drama, Other, Comedy, Romance",Evening,Friends/Group,No,Yes,1,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,3,5,No
15,Male,5647,Other,Tier-1 City,Never,87,2,"Romance, Sci-Fi, Documentary, Other, Animation, Action",Afternoon,Alone,Yes,No,3,Yes,No,No,Yes,No,No,Yes,No,No,1,3,Yes
41,Female,5095,Other,Tier-2 City,Monthly,67,3,"Romance, Horror, Action, Other, Animation, Documentary",Evening,Friends/Group,No,No,5,No,Yes,No,No,Yes,No,Yes,Yes,Yes,1,2,Yes
27,Prefer not to say,19200,Student,Tier-2 City,Occasionally,69,5,"Drama, Animation, Romance, Sci-Fi, Other, Action",Night,Friends/Group,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2,3,Yes
55,Male,6067,Student,Town,Occasionally,84,5,"Sci-Fi, Romance, Other, Comedy, Documentary, Animation, Horror, Action, Drama",Evening,Partner,Yes,Yes,5,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,4,2,Yes
17,Male,1576,Student,Tier-2 City,Rarely,65,4,"Romance, Animation, Other, Sci-Fi, Horror, Comedy, Action, Drama, Documentary",Morning,Partner,Yes,Yes,5,No,Yes,Yes,Yes,No,Yes,No,No,Yes,3,5,Yes
53,Female,1296,Retired,Tier-2 City,Never,67,2,"Romance, Comedy, Sci-Fi, Action, Other, Documentary, Drama, Animation",Afternoon,Friends/Group,Yes,No,5,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,5,4,Yes
20,Male,1785,Other,Town,Monthly,75,5,"Romance, Documentary, Action, Other, Comedy",Evening,Family,Yes,Yes,4,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,4,1,Yes
22,Non-binary,1146,Homemaker,Rural Area,Never,98,2,"Documentary, Comedy, Sci-Fi, Horror, Action, Romance, Animation, Other, Drama",Morning,Family,No,No,3,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1,1,Yes
41,Non-binary,2893,Working Professional,Town,Weekly,52,3,"Action, Documentary, Romance, Drama, Other, Horror, Comedy, Sci-Fi",Evening,Family,No,Yes,5,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,5,2,Yes
23,Prefer not to say,7895,Retired,Tier-1 City,Never,90,4,"Horror, Comedy, Action, Other, Drama, Animation, Sci-Fi, Romance, Documentary",Afternoon,Partner,No,Yes,4,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,5,5,Yes
51,Male,1100,Homemaker,Town,Never,90,3,"Action, Sci-Fi, Horror, Comedy, Romance, Animation, Documentary",Evening,Partner,No,No,4,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,2,1,Yes
47,Female,1325,Other,Tier-1 City,Occasionally,90,4,"Documentary, Animation, Horror, Action, Sci-Fi, Comedy, Drama",Night,Friends/Group,No,Yes,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,3,1,Yes
56,Non-binary,2504,Student,Rural Area,Monthly,58,5,"Comedy, Drama, Sci-Fi, Horror, Animation, Other",Evening,Alone,Yes,Yes,4,No,Yes,Yes,Yes,Yes,No,No,No,No,1,5,Yes
58,Female,7790,Other,Town,Never,164,4,"Horror, Action, Animation, Documentary, Drama, Other, Sci-Fi, Comedy, Romance",Morning,Partner,No,Yes,4,No,Yes,No,No,Yes,Yes,Yes,No,Yes,5,2,No
38,Female,1950,Working Professional,Town,Occasionally,86,1,"Horror, Documentary, Drama, Comedy, Animation",Evening,Friends/Group,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,2,Yes
29,Non-binary,2769,Retired,Rural Area,Rarely,78,2,"Comedy, Action, Animation, Romance, Horror",Morning,Friends/Group,Yes,Yes,2,Yes,Yes,No,No,Yes,No,No,Yes,No,4,4,Yes
46,Female,1106,Retired,Tier-1 City,Occasionally,95,2,"Action, Horror, Comedy, Other, Romance, Sci-Fi, Animation, Documentary",Afternoon,Alone,Yes,Yes,5,No,Yes,Yes,Yes,No,No,No,No,No,2,1,Yes
46,Non-binary,1401,Working Professional,Town,Occasionally,60,1,"Action, Animation, Horror, Comedy, Sci-Fi",Evening,Family,Yes,No,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3,1,No
38,Female,11786,Homemaker,Tier-1 City,Occasionally,90,3,"Action, Drama, Sci-Fi, Documentary, Comedy",Afternoon,Friends/Group,Yes,Yes,4,Yes,Yes,Yes,No,No,No,No,Yes,Yes,2,5,Yes
55,Non-binary,9389,Homemaker,Town,Never,96,1,"Romance, Other, Comedy, Drama, Animation, Sci-Fi, Horror, Documentary, Action",Afternoon,Friends/Group,No,No,4,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3,5,Yes
26,Male,1012,Retired,Tier-2 City,Never,73,5,"Other, Drama, Romance, Animation",Evening,Friends/Group,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,4,3,Yes
53,Prefer not to say,8581,Retired,Town,Rarely,83,5,"Other, Documentary, Action, Drama, Horror, Romance, Sci-Fi",Morning,Family,Yes,Yes,5,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,1,3,Yes
16,Non-binary,21288,Student,Rural Area,Weekly,82,2,"Animation, Drama, Documentary, Horror, Comedy, Romance, Action",Afternoon,Family,Yes,Yes,5,Yes,No,Yes,Yes,Yes,No,No,Yes,No,3,4,Yes
17,Non-binary,6060,Homemaker,Rural Area,Weekly,58,5,"Sci-Fi, Drama, Animation, Horror, Action",Afternoon,Alone,Yes,Yes,1,No,No,Yes,Yes,Yes,No,No,Yes,Yes,1,2,No
51,Prefer not to say,2516,Working Professional,Tier-1 City,Weekly,85,2,"Animation, Other, Sci-Fi, Documentary, Comedy, Horror, Action, Romance",Evening,Partner,Yes,Yes,2,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,5,5,No
31,Non-binary,2812,Homemaker,Town,Rarely,107,1,"Romance, Comedy, Horror, Drama, Action",Evening,Family,Yes,No,4,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,5,2,Yes
16,Non-binary,2677,Student,Tier-1 City,Weekly,75,1,"Horror, Action, Drama, Other, Sci-Fi, Documentary, Romance, Animation",Evening,Partner,Yes,Yes,4,No,Yes,No,No,Yes,No,Yes,Yes,No,4,1,Yes
16,Female,3748,Retired,Tier-1 City,Weekly,45,1,"Other, Horror, Documentary, Comedy, Drama, Sci-Fi, Action, Animation",Evening,Partner,Yes,Yes,1,No,Yes,No,No,Yes,No,Yes,Yes,No,4,2,No
42,Prefer not to say,1376,Retired,Tier-2 City,Occasionally,61,2,"Comedy, Documentary, Other, Romance, Sci-Fi",Evening,Family,No,Yes,2,No,No,Yes,Yes,Yes,Yes,No,Yes,No,5,2,Yes
37,Male,1076,Student,Tier-2 City,Never,39,1,"Horror, Animation, Comedy, Sci-Fi, Drama, Romance, Documentary, Other, Action",Night,Friends/Group,No,No,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,Yes
51,Non-binary,1920,Working Professional,Rural Area,Never,100,1,"Sci-Fi, Romance, Other, Horror, Documentary, Action",Evening,Alone,Yes,No,3,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,5,Yes
46,Prefer not to say,4049,Retired,Tier-1 City,Occasionally,90,3,"Documentary, Romance, Comedy, Drama, Other, Horror, Action, Sci-Fi, Animation",Morning,Partner,Yes,Yes,1,Yes,No,No,Yes,Yes,Yes,No,No,No,5,3,Yes
47,Female,1563,Other,Rural Area,Occasionally,64,1,"Sci-Fi, Animation, Drama, Comedy",Afternoon,Friends/Group,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,5,Yes
15,Male,3797,Retired,Town,Occasionally,46,5,"Romance, Horror, Documentary, Sci-Fi, Comedy",Morning,Family,No,Yes,4,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,2,3,No
33,Prefer not to say,9759,Other,Tier-1 City,Never,58,2,"Other, Romance, Drama, Horror, Documentary, Sci-Fi, Action",Morning,Partner,Yes,Yes,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1,3,Yes
16,Male,1246,Student,Tier-1 City,Weekly,62,3,"Romance, Drama, Comedy, Other, Sci-Fi, Horror, Action, Documentary, Animation",Night,Partner,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,4,Yes
58,Male,3791,Student,Town,Occasionally,77,4,"Action, Other, Horror, Comedy",Evening,Partner,No,Yes,3,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,1,1,Yes
40,Male,2466,Retired,Town,Rarely,76,2,"Horror, Comedy, Romance, Documentary, Action, Animation, Drama, Other, Sci-Fi",Afternoon,Friends/Group,Yes,Yes,5,No,No,Yes,Yes,Yes,No,No,Yes,Yes,3,4,Yes
46,Non-binary,6065,Homemaker,Rural Area,Occasionally,101,5,"Documentary, Other, Action, Animation",Morning,Friends/Group,Yes,Yes,3,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,1,Yes
20,Non-binary,1487,Other,Rural Area,Monthly,61,2,"Other, Animation, Action, Documentary, Sci-Fi, Drama, Horror, Comedy",Evening,Friends/Group,Yes,Yes,1,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4,4,Yes
46,Female,3949,Working Professional,Town,Occasionally,44,5,"Other, Animation, Documentary, Comedy",Evening,Partner,No,No,5,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,2,4,Yes
18,Female,5552,Retired,Rural Area,Never,51,5,"Comedy, Drama, Other, Animation",Night,Partner,No,No,2,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,5,5,No
25,Prefer not to say,8233,Working Professional,Town,Occasionally,74,4,"Other, Sci-Fi, Animation, Drama, Romance, Horror, Action, Comedy",Night,Alone,No,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,5,Yes
31,Female,3874,Retired,Tier-1 City,Monthly,60,2,"Documentary, Horror, Romance, Comedy, Drama, Action, Sci-Fi",Night,Alone,Yes,Yes,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,No
52,Male,2718,Homemaker,Tier-1 City,Rarely,69,4,"Action, Comedy, Horror, Animation, Romance, Sci-Fi, Other, Drama, Documentary",Afternoon,Friends/Group,Yes,Yes,3,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,2,2,Yes
38,Male,3404,Homemaker,Tier-2 City,Weekly,65,4,"Documentary, Animation, Romance, Drama",Morning,Friends/Group,No,Yes,3,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,3,5,Yes
19,Non-binary,6079,Homemaker,Tier-1 City,Occasionally,94,2,"Comedy, Action, Other, Animation, Sci-Fi, Horror, Romance, Documentary",Night,Family,No,No,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,3,Yes
48,Male,18678,Homemaker,Town,Monthly,63,1,"Sci-Fi, Action, Comedy, Drama",Night,Friends/Group,Yes,Yes,3,No,Yes,Yes,No,No,No,Yes,Yes,Yes,3,2,Yes
20,Prefer not to say,1077,Student,Rural Area,Monthly,67,1,"Horror, Drama, Animation, Romance",Night,Alone,No,No,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,3,Yes
36,Male,7682,Student,Tier-2 City,Rarely,89,4,"Comedy, Sci-Fi, Other, Documentary, Animation, Horror, Drama",Morning,Alone,Yes,No,1,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,2,1,Yes
25,Male,3924,Other,Rural Area,Never,63,3,"Romance, Animation, Documentary, Other, Comedy, Action, Drama, Sci-Fi",Morning,Alone,Yes,Yes,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,4,5,Yes
30,Prefer not to say,3821,Working Professional,Town,Occasionally,83,4,"Comedy, Animation, Other, Action",Night,Partner,No,Yes,2,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,2,1,Yes
47,Female,1607,Retired,Tier-1 City,Monthly,81,4,"Animation, Romance, Action, Documentary, Drama, Horror",Night,Partner,Yes,Yes,5,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1,2,Yes
23,Female,3688,Retired,Tier-2 City,Rarely,77,4,"Horror, Romance, Sci-Fi, Other, Documentary, Comedy, Drama",Evening,Friends/Group,No,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,2,4,Yes
20,Prefer not to say,2251,Student,Town,Weekly,52,1,"Animation, Comedy, Other, Sci-Fi, Drama, Documentary, Romance, Action",Night,Family,Yes,Yes,1,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,5,4,Yes
30,Non-binary,3633,Retired,Tier-2 City,Monthly,99,1,"Sci-Fi, Drama, Horror, Romance",Afternoon,Family,Yes,Yes,3,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,4,5,Yes
43,Male,1281,Student,Tier-2 City,Rarely,119,1,"Drama, Animation, Other, Documentary, Action, Sci-Fi, Horror, Comedy, Romance",Afternoon,Family,No,No,3,Yes,No,Yes,No,Yes,No,Yes,Yes,No,3,5,Yes
17,Prefer not to say,3681,Other,Tier-1 City,Never,75,4,"Sci-Fi, Comedy, Documentary, Action, Animation, Horror",Night,Partner,No,Yes,2,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,1,Yes
34,Male,19604,Working Professional,Town,Never,54,3,"Other, Animation, Action, Documentary, Romance, Drama, Horror",Morning,Alone,Yes,Yes,2,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,3,2,Yes
50,Non-binary,1123,Other,Rural Area,Monthly,75,1,"Romance, Animation, Action, Drama",Evening,Alone,Yes,Yes,4,Yes,No,Yes,Yes,No,No,Yes,No,Yes,3,4,Yes
33,Male,10449,Homemaker,Tier-2 City,Monthly,94,2,"Animation, Comedy, Romance, Sci-Fi, Documentary, Other, Drama",Morning,Partner,No,Yes,1,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,1,5,Yes
40,Prefer not to say,2306,Homemaker,Tier-2 City,Occasionally,62,2,"Drama, Other, Documentary, Animation, Romance, Horror, Action",Night,Family,Yes,Yes,1,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,5,4,No
